,,,PltRpt=1 Group=1 US LUM 384 (cps) Yeh(1) De=USLum Ex=N/A Em=N/A Wdw=N/A,,,,PltRpt=2 Group=1 US LUM 384 (cps) Yeh(1) De=USLum Ex=N/A Em=N/A Wdw=N/A,,,,PltRpt=3 Group=1 US LUM 384 (cps) Yeh(1) De=USLum Ex=N/A Em=N/A Wdw=N/A,,,,PltRpt=1 Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 (cps) Yeh(1) channel 1,,,,PltRpt=2 Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 (cps) Yeh(1) channel 1,,,,PltRpt=3 Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 (cps) Yeh(1) channel 1,,,
Plate,Barcode,Well,CalcResultI,Signal,Flashes/Time,MeasTime,CalcResultI,Signal,Flashes/Time,MeasTime,CalcResultI,Signal,Flashes/Time,MeasTime,CalcResultI,Signal,,MeasTime,CalcResultI,Signal,,MeasTime,CalcResultI,Signal,,MeasTime
1,,E16,14050240,1405024,0.1,00:22.3,11851160,1185116,0.1,11:46.7,10042360,1004236,0.1,23:10.9,14050240,0,0,0,11851160,0,0,0,10042360,0,0,0
1,,E17,14403840,1440384,0.1,00:22.5,12053200,1205320,0.1,11:46.9,10260560,1026056,0.1,23:11.1,14403840,0,0,0,12053200,0,0,0,10260560,0,0,0
1,,E18,13663800,1366380,0.1,00:22.7,11288000,1128800,0.1,11:47.1,9545200,954520,0.1,23:11.3,13663800,0,0,0,11288000,0,0,0,9545200,0,0,0
1,,E19,14185920,1418592,0.1,00:22.9,12066720,1206672,0.1,11:47.3,10241080,1024108,0.1,23:11.5,14185920,0,0,0,12066720,0,0,0,10241080,0,0,0
1,,E20,13820720,1382072,0.1,00:23.1,11639120,1163912,0.1,11:47.5,9884120,988412,0.1,23:11.7,13820720,0,0,0,11639120,0,0,0,9884120,0,0,0
1,,E21,14480960,1448096,0.1,00:23.3,12112640,1211264,0.1,11:47.6,10277920,1027792,0.1,23:11.9,14480960,0,0,0,12112640,0,0,0,10277920,0,0,0
1,,E22,13553440,1355344,0.1,00:23.5,11520920,1152092,0.1,11:47.8,9634320,963432,0.1,23:12.1,13553440,0,0,0,11520920,0,0,0,9634320,0,0,0
1,,E23,44040,4404,0.1,00:23.7,30160,3016,0.1,11:48.0,28040,2804,0.1,23:12.3,44040,0,0,0,30160,0,0,0,28040,0,0,0
1,,E24,13720200,1372020,0.1,00:23.9,11897560,1189756,0.1,11:48.2,10260280,1026028,0.1,23:12.5,13720200,0,0,0,11897560,0,0,0,10260280,0,0,0
1,,F01,14963560,1496356,0.1,00:24.3,12150040,1215004,0.1,11:48.7,10398520,1039852,0.1,23:12.9,14963560,0,0,0,12150040,0,0,0,10398520,0,0,0
