,,,PltRpt=1 Group=1 US LUM 384 (cps) Yeh(1) De=USLum Ex=N/A Em=N/A Wdw=N/A,,,,PltRpt=2 Group=1 US LUM 384 (cps) Yeh(1) De=USLum Ex=N/A Em=N/A Wdw=N/A,,,,PltRpt=3 Group=1 US LUM 384 (cps) Yeh(1) De=USLum Ex=N/A Em=N/A Wdw=N/A,,,,PltRpt=1 Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 (cps) Yeh(1) channel 1,,,,PltRpt=2 Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 (cps) Yeh(1) channel 1,,,,PltRpt=3 Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 (cps) Yeh(1) channel 1,,,
Plate,Barcode,Well,CalcResultI,Signal,Flashes/Time,MeasTime,CalcResultI,Signal,Flashes/Time,MeasTime,CalcResultI,Signal,Flashes/Time,MeasTime,CalcResultI,Signal,,MeasTime,CalcResultI,Signal,,MeasTime,CalcResultI,Signal,,MeasTime
1,,E19,432760,43276,0.1,00:22.9,382160,38216,0.1,06:20.0,354760,35476,0.1,12:17.2,432760,0,0,0,382160,0,0,0,354760,0,0,0
1,,E20,421240,42124,0.1,00:23.1,372160,37216,0.1,06:20.2,350400,35040,0.1,12:17.4,421240,0,0,0,372160,0,0,0,350400,0,0,0
1,,E21,425840,42584,0.1,00:23.3,375960,37596,0.1,06:20.4,356920,35692,0.1,12:17.6,425840,0,0,0,375960,0,0,0,356920,0,0,0
1,,E22,393360,39336,0.1,00:23.5,354960,35496,0.1,06:20.6,332040,33204,0.1,12:17.8,393360,0,0,0,354960,0,0,0,332040,0,0,0
1,,E23,318680,31868,0.1,00:23.7,289200,28920,0.1,06:20.8,268000,26800,0.1,12:18.0,318680,0,0,0,289200,0,0,0,268000,0,0,0
1,,E24,412440,41244,0.1,00:23.9,373000,37300,0.1,06:21.0,351920,35192,0.1,12:18.1,412440,0,0,0,373000,0,0,0,351920,0,0,0
1,,F01,418720,41872,0.1,00:24.3,375840,37584,0.1,06:21.5,353600,35360,0.1,12:18.6,418720,0,0,0,375840,0,0,0,353600,0,0,0
1,,F02,1600,160,0.1,00:24.5,1480,148,0.1,06:21.6,1320,132,0.1,12:18.8,1600,0,0,0,1480,0,0,0,1320,0,0,0
1,,F03,416240,41624,0.1,00:24.7,368520,36852,0.1,06:21.8,347960,34796,0.1,12:19.0,416240,0,0,0,368520,0,0,0,347960,0,0,0
1,,F04,424480,42448,0.1,00:24.9,375960,37596,0.1,06:22.0,349080,34908,0.1,12:19.2,424480,0,0,0,375960,0,0,0,349080,0,0,0
1,,F05,425240,42524,0.1,00:25.1,373640,37364,0.1,06:22.2,350320,35032,0.1,12:19.4,425240,0,0,0,373640,0,0,0,350320,0,0,0
1,,F06,429040,42904,0.1,00:25.3,375920,37592,0.1,06:22.4,348600,34860,0.1,12:19.5,429040,0,0,0,375920,0,0,0,348600,0,0,0
1,,F07,432120,43212,0.1,00:25.5,373880,37388,0.1,06:22.6,350400,35040,0.1,12:19.7,432120,0,0,0,373880,0,0,0,350400,0,0,0
1,,F08,416320,41632,0.1,00:25.7,370440,37044,0.1,06:22.8,343120,34312,0.1,12:19.9,416320,0,0,0,370440,0,0,0,343120,0,0,0
1,,F09,413080,41308,0.1,00:25.9,364400,36440,0.1,06:23.0,341720,34172,0.1,12:20.1,413080,0,0,0,364400,0,0,0,341720,0,0,0
1,,F10,424240,42424,0.1,00:26.0,371400,37140,0.1,06:23.2,353160,35316,0.1,12:20.3,424240,0,0,0,371400,0,0,0,353160,0,0,0
1,,F11,427000,42700,0.1,00:26.2,375400,37540,0.1,06:23.4,354600,35460,0.1,12:20.5,427000,0,0,0,375400,0,0,0,354600,0,0,0
1,,F12,430600,43060,0.1,00:26.4,378920,37892,0.1,06:23.6,356720,35672,0.1,12:20.7,430600,0,0,0,378920,0,0,0,356720,0,0,0
1,,F13,441200,44120,0.1,00:26.6,381080,38108,0.1,06:23.8,360000,36000,0.1,12:20.9,441200,0,0,0,381080,0,0,0,360000,0,0,0
1,,F14,434120,43412,0.1,00:26.8,380080,38008,0.1,06:24.0,355240,35524,0.1,12:21.1,434120,0,0,0,380080,0,0,0,355240,0,0,0
1,,F15,436440,43644,0.1,00:27.0,382880,38288,0.1,06:24.1,356120,35612,0.1,12:21.3,436440,0,0,0,382880,0,0,0,356120,0,0,0
1,,F16,440840,44084,0.1,00:27.2,384680,38468,0.1,06:24.3,359040,35904,0.1,12:21.5,440840,0,0,0,384680,0,0,0,359040,0,0,0
1,,F17,435160,43516,0.1,00:27.4,383000,38300,0.1,06:24.5,359280,35928,0.1,12:21.7,435160,0,0,0,383000,0,0,0,359280,0,0,0
1,,F18,433080,43308,0.1,00:27.6,377920,37792,0.1,06:24.7,351280,35128,0.1,12:21.9,433080,0,0,0,377920,0,0,0,351280,0,0,0
1,,F19,430760,43076,0.1,00:27.8,383520,38352,0.1,06:24.9,357000,35700,0.1,12:22.0,430760,0,0,0,383520,0,0,0,357000,0,0,0
1,,F20,422880,42288,0.1,00:28.0,376960,37696,0.1,06:25.1,353920,35392,0.1,12:22.2,422880,0,0,0,376960,0,0,0,353920,0,0,0
1,,F21,426040,42604,0.1,00:28.2,379800,37980,0.1,06:25.3,354760,35476,0.1,12:22.4,426040,0,0,0,379800,0,0,0,354760,0,0,0
1,,F22,416880,41688,0.1,00:28.3,374800,37480,0.1,06:25.5,351800,35180,0.1,12:22.6,416880,0,0,0,374800,0,0,0,351800,0,0,0
1,,F23,323400,32340,0.1,00:28.5,292200,29220,0.1,06:25.7,272840,27284,0.1,12:22.8,323400,0,0,0,292200,0,0,0,272840,0,0,0
1,,F24,413640,41364,0.1,00:28.7,370960,37096,0.1,06:25.9,355600,35560,0.1,12:23.0,413640,0,0,0,370960,0,0,0,355600,0,0,0
1,,G01,459800,45980,0.1,00:29.2,407640,40764,0.1,06:26.3,380760,38076,0.1,12:23.5,459800,0,0,0,407640,0,0,0,380760,0,0,0
1,,G02,1760,176,0.1,00:29.4,1640,164,0.1,06:26.5,1600,160,0.1,12:23.6,1760,0,0,0,1640,0,0,0,1600,0,0,0
1,,G03,437280,43728,0.1,00:29.6,391400,39140,0.1,06:26.7,372680,37268,0.1,12:23.8,437280,0,0,0,391400,0,0,0,372680,0,0,0
1,,G04,450720,45072,0.1,00:29.8,401000,40100,0.1,06:26.9,380040,38004,0.1,12:24.0,450720,0,0,0,401000,0,0,0,380040,0,0,0
