,,,PltRpt=1 Group=1 US LUM 384 (cps) Yeh(1) De=USLum Ex=N/A Em=N/A Wdw=N/A,,,,PltRpt=2 Group=1 US LUM 384 (cps) Yeh(1) De=USLum Ex=N/A Em=N/A Wdw=N/A,,,,PltRpt=3 Group=1 US LUM 384 (cps) Yeh(1) De=USLum Ex=N/A Em=N/A Wdw=N/A,,,,PltRpt=1 Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 (cps) Yeh(1) channel 1,,,,PltRpt=2 Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 (cps) Yeh(1) channel 1,,,,PltRpt=3 Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 (cps) Yeh(1) channel 1,,,
Plate,Barcode,Well,CalcResultI,Signal,Flashes/Time,MeasTime,CalcResultI,Signal,Flashes/Time,MeasTime,CalcResultI,Signal,Flashes/Time,MeasTime,CalcResultI,Signal,,MeasTime,CalcResultI,Signal,,MeasTime,CalcResultI,Signal,,MeasTime
2,,E16,263640,26364,0.1,00:22.3,248160,24816,0.1,11:47.4,226440,22644,0.1,23:12.0,263640,0,0,0,248160,0,0,0,226440,0,0,0
2,,E17,263560,26356,0.1,00:22.5,246920,24692,0.1,11:47.6,227360,22736,0.1,23:12.2,263560,0,0,0,246920,0,0,0,227360,0,0,0
2,,E18,265200,26520,0.1,00:22.7,250440,25044,0.1,11:47.8,227680,22768,0.1,23:12.4,265200,0,0,0,250440,0,0,0,227680,0,0,0
2,,E19,258920,25892,0.1,00:22.9,247040,24704,0.1,11:48.0,224040,22404,0.1,23:12.6,258920,0,0,0,247040,0,0,0,224040,0,0,0
2,,E20,255720,25572,0.1,00:23.1,241120,24112,0.1,11:48.1,221440,22144,0.1,23:12.8,255720,0,0,0,241120,0,0,0,221440,0,0,0
2,,E21,256600,25660,0.1,00:23.3,242640,24264,0.1,11:48.3,224000,22400,0.1,23:13.0,256600,0,0,0,242640,0,0,0,224000,0,0,0
2,,E22,249920,24992,0.1,00:23.5,236040,23604,0.1,11:48.5,217400,21740,0.1,23:13.2,249920,0,0,0,236040,0,0,0,217400,0,0,0
2,,E23,520,52,0.1,00:23.7,440,44,0.1,11:48.7,400,40,0.1,23:13.3,520,0,0,0,440,0,0,0,400,0,0,0
2,,E24,248640,24864,0.1,00:23.9,236000,23600,0.1,11:48.9,219240,21924,0.1,23:13.5,248640,0,0,0,236000,0,0,0,219240,0,0,0
2,,F01,270640,27064,0.1,00:24.3,256080,25608,0.1,11:49.4,235760,23576,0.1,23:14.0,270640,0,0,0,256080,0,0,0,235760,0,0,0
2,,F02,440,44,0.1,00:24.5,520,52,0.1,11:49.5,440,44,0.1,23:14.2,440,0,0,0,520,0,0,0,440,0,0,0
2,,F03,260560,26056,0.1,00:24.7,249240,24924,0.1,11:49.7,229240,22924,0.1,23:14.4,260560,0,0,0,249240,0,0,0,229240,0,0,0
2,,F04,266800,26680,0.1,00:24.9,254840,25484,0.1,11:49.9,235520,23552,0.1,23:14.6,266800,0,0,0,254840,0,0,0,235520,0,0,0
2,,F05,267920,26792,0.1,00:25.1,256560,25656,0.1,11:50.1,235000,23500,0.1,23:14.8,267920,0,0,0,256560,0,0,0,235000,0,0,0
2,,F06,271640,27164,0.1,00:25.3,261280,26128,0.1,11:50.3,238800,23880,0.1,23:14.9,271640,0,0,0,261280,0,0,0,238800,0,0,0
2,,F07,269800,26980,0.1,00:25.5,256560,25656,0.1,11:50.5,232960,23296,0.1,23:15.1,269800,0,0,0,256560,0,0,0,232960,0,0,0
2,,F08,273360,27336,0.1,00:25.7,263480,26348,0.1,11:50.7,238480,23848,0.1,23:15.3,273360,0,0,0,263480,0,0,0,238480,0,0,0
2,,F09,266840,26684,0.1,00:25.8,257720,25772,0.1,11:50.9,233160,23316,0.1,23:15.5,266840,0,0,0,257720,0,0,0,233160,0,0,0
2,,F10,267200,26720,0.1,00:26.0,253920,25392,0.1,11:51.1,230080,23008,0.1,23:15.7,267200,0,0,0,253920,0,0,0,230080,0,0,0
2,,F11,268840,26884,0.1,00:26.2,256640,25664,0.1,11:51.3,235240,23524,0.1,23:15.9,268840,0,0,0,256640,0,0,0,235240,0,0,0
2,,F12,260840,26084,0.1,00:26.4,250560,25056,0.1,11:51.5,231800,23180,0.1,23:16.1,260840,0,0,0,250560,0,0,0,231800,0,0,0
2,,F13,270880,27088,0.1,00:26.6,254720,25472,0.1,11:51.7,232600,23260,0.1,23:16.3,270880,0,0,0,254720,0,0,0,232600,0,0,0
2,,F14,265840,26584,0.1,00:26.8,255680,25568,0.1,11:51.9,231000,23100,0.1,23:16.5,265840,0,0,0,255680,0,0,0,231000,0,0,0
2,,F15,269280,26928,0.1,00:27.0,255520,25552,0.1,11:52.0,232520,23252,0.1,23:16.7,269280,0,0,0,255520,0,0,0,232520,0,0,0
2,,F16,268760,26876,0.1,00:27.2,257800,25780,0.1,11:52.2,234920,23492,0.1,23:16.9,268760,0,0,0,257800,0,0,0,234920,0,0,0
2,,F17,268840,26884,0.1,00:27.4,255280,25528,0.1,11:52.4,229840,22984,0.1,23:17.1,268840,0,0,0,255280,0,0,0,229840,0,0,0
2,,F18,263000,26300,0.1,00:27.6,249840,24984,0.1,11:52.6,228760,22876,0.1,23:17.2,263000,0,0,0,249840,0,0,0,228760,0,0,0
2,,F19,262560,26256,0.1,00:27.8,250920,25092,0.1,11:52.8,226200,22620,0.1,23:17.4,262560,0,0,0,250920,0,0,0,226200,0,0,0
2,,F20,260960,26096,0.1,00:28.0,246200,24620,0.1,11:53.0,224320,22432,0.1,23:17.6,260960,0,0,0,246200,0,0,0,224320,0,0,0
2,,F21,257920,25792,0.1,00:28.2,246360,24636,0.1,11:53.2,221040,22104,0.1,23:17.8,257920,0,0,0,246360,0,0,0,221040,0,0,0
2,,F22,252800,25280,0.1,00:28.3,238280,23828,0.1,11:53.4,221200,22120,0.1,23:18.0,252800,0,0,0,238280,0,0,0,221200,0,0,0
2,,F23,520,52,0.1,00:28.5,280,28,0.1,11:53.6,480,48,0.1,23:18.2,520,0,0,0,280,0,0,0,480,0,0,0
2,,F24,251720,25172,0.1,00:28.7,239320,23932,0.1,11:53.8,221160,22116,0.1,23:18.4,251720,0,0,0,239320,0,0,0,221160,0,0,0
2,,G01,270720,27072,0.1,00:29.2,259360,25936,0.1,11:54.2,239440,23944,0.1,23:18.8,270720,0,0,0,259360,0,0,0,239440,0,0,0
2,,G02,280,28,0.1,00:29.4,600,60,0.1,11:54.4,400,40,0.1,23:19.0,280,0,0,0,600,0,0,0,400,0,0,0
2,,G03,271000,27100,0.1,00:29.6,253640,25364,0.1,11:54.6,235880,23588,0.1,23:19.2,271000,0,0,0,253640,0,0,0,235880,0,0,0
2,,G04,270760,27076,0.1,00:29.7,263120,26312,0.1,11:54.8,236360,23636,0.1,23:19.4,270760,0,0,0,263120,0,0,0,236360,0,0,0
2,,G05,273040,27304,0.1,00:30.0,261280,26128,0.1,11:55.0,235320,23532,0.1,23:19.6,273040,0,0,0,261280,0,0,0,235320,0,0,0
